# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
2.38879010491041E+015, 7.1776158530086E+035, 1.06E+039, 0.0027026482
2.35878716319936E+015, 7.05131514839976E+035, 1.05E+039, 0.0026906765
2.32891764045584E+015, 6.92579169127525E+035, 1.04E+039, 0.0026786647
2.29918198731073E+015, 6.80104691751919E+035, 1.03E+039, 0.002666612
2.26958066156851E+015, 6.67708228628411E+035, 1.02E+039, 0.0026545179
2.24011412840998E+015, 6.55389928064786E+035, 1.01E+039, 0.0026423816
2.21078286057881E+015, 6.43149940823204E+035, 1E+039, 0.0026302025
2.18158733855795E+015, 6.30988420179001E+035, 9.9E+038, 0.0026179798
2.15252805086542E+015, 6.18905522013935E+035, 9.8E+038, 0.0026057129
2.12360549412837E+015, 6.06901404846785E+035, 9.7E+038, 0.0025934009
2.09482017343121E+015, 5.94976229941986E+035, 9.6E+038, 0.0025810432
2.06617260248274E+015, 5.83130161367779E+035, 9.5E+038, 0.0025686389
2.03766330385904E+015, 5.71363366076007E+035, 9.4E+038, 0.0025561872
2.00929280928201E+015, 5.5967601399151E+035, 9.3E+038, 0.0025436873
1.98106165982548E+015, 5.48068278083587E+035, 9.2E+038, 0.0025311384
1.95297040624978E+015, 5.3654033447222E+035, 9.1E+038, 0.0025185395
1.92501960922596E+015, 5.25092362505134E+035, 9E+038, 0.0025058897
1.89720983966385E+015, 5.13724544863548E+035, 8.9E+038, 0.0024931882
1.86954167898028E+015, 5.02437067652371E+035, 8.8E+038, 0.002480434
1.84201571943673E+015, 4.91230120510435E+035, 8.7E+038, 0.002467626
1.81463256447657E+015, 4.80103896721525E+035, 8.6E+038, 0.0024547632
1.78739282903918E+015, 4.69058593318683E+035, 8.5E+038, 0.0024418447
1.76029713992016E+015, 4.58094411203566E+035, 8.4E+038, 0.0024288693
1.73334613617585E+015, 4.47211555277988E+035, 8.3E+038, 0.0024158359
